Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Bunan,India,IND,Definitely endangered,4000.0,32.7503,76.2451,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Baghati,India,IND,Critically endangered,3976.0,31.194000000000006,77.0471,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Bharmauri,India,IND,Definitely endangered,3976.0,32.4912,76.8383,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Moyon,India,IND,Definitely endangered,3700.0,24.4171,94.378,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Brokshat,India,IND,Definitely endangered,3000.0,34.6478,76.4978,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Geta?,India,IND,Severely endangered,3000.0,18.2293,82.727,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Sherdukpen,India,IND,Vulnerable,3000.0,27.1935,92.351,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Takahanyilang,India,IND,Critically endangered,3000.0,6.85,93.8726,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Aimol,India,IND,Critically endangered,2643.0,24.4971,93.6145,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Remo,India,IND,Severely endangered,2500.0,19.1659,82.6391,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Aiton,India,IND,Severely endangered,2000.0,26.6523,94.2901,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Birhor,India,IND,Critically endangered,2000.0,21.7594,85.935,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Jangshung,India,IND,Definitely endangered,2000.0,31.7748,78.4753,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kota,India,IND,Critically endangered,2000.0,11.4154,76.8576,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Luro,India,IND,Critically endangered,2000.0,7.915,93.3837,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Milang,India,IND,Definitely endangered,2000.0,28.488000000000003,95.2954,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
